cell_zid,geometry,percentage passability
106318,"MULTIPOLYGON (((37.58365985054727 55.725070675222966, 37.58366945436417 55.72956214626441, 37.5916288188547 55.729556468192925, 37.591618301442374 55.725064998102326, 37.58365985054727 55.725070675222966)))",0.8783573503405665
106319,"MULTIPOLYGON (((37.591618301442374 55.725064998102326, 37.5916288188547 55.729556468192925, 37.59958818425406 55.7295502744971, 37.59957675324702 55.72505880544368, 37.591618301442374 55.725064998102326)))",0.9296442763431547
106320,"MULTIPOLYGON (((37.59957675324702 55.72505880544368, 37.59958818425406 55.7295502744971, 37.60754754641777 55.72954356517997, 37.60753520181728 55.7250520972501, 37.59957675324702 55.72505880544368)))",0.7976015989188567
106321,"MULTIPOLYGON (((37.60753520181728 55.7250520972501, 37.60754754641777 55.72954356517997, 37.6155069041158 55.729536340242966, 37.61549364592332 55.725044873522954, 37.60753520181728 55.7250520972501)))",1.6807630915584602
106322,"MULTIPOLYGON (((37.61549364592332 55.725044873522954, 37.6155069041158 55.729536340242966, 37.62346625611805 55.72952859968772, 37.62345208433526 55.72503713426393, 37.61549364592332 55.725044873522954)))",1.9281023347276733
106323,"MULTIPOLYGON (((37.62345208433526 55.72503713426393, 37.62346625611805 55.72952859968772, 37.63142560605182 55.72952034351101, 37.63141052068005 55.72502887946978, 37.62345208433526 55.72503713426393)))",1.750659657747887
106324,"MULTIPOLYGON (((37.63141052068005 55.72502887946978, 37.63142560605182 55.72952034351101, 37.63938495268704 55.72951157171414, 37.639368953727825 55.72502010914184, 37.63141052068005 55.72502887946978)))",1.3959167753867427
106325,"MULTIPOLYGON (((37.639368953727825 55.72502010914184, 37.63938495268704 55.72951157171414, 37.64734429382218 55.72950228429988, 37.64732738128359 55.7250108249274, 37.639368953727825 55.72502010914184)))",1.2991928072130743
106906,"MULTIPOLYGON (((37.58366945436417 55.72956214626441, 37.58367906089594 55.73405361235479, 37.59163933924015 55.73404793333226, 37.5916288188547 55.729556468192925, 37.58366945436417 55.72956214626441)))",1.0735776333723643
106907,"MULTIPOLYGON (((37.5916288188547 55.729556468192925, 37.59163933924015 55.73404793333226, 37.599599618492455 55.73404173859899, 37.59958818425406 55.7295502744971, 37.5916288188547 55.729556468192925)))",1.3522720259239036
106908,"MULTIPOLYGON (((37.59958818425406 55.7295502744971, 37.599599618492455 55.73404173859899, 37.60755989450791 55.7340350281581, 37.60754754641777 55.72954356517997, 37.59958818425406 55.7295502744971)))",1.2907584885860584
106909,"MULTIPOLYGON (((37.60754754641777 55.72954356517997, 37.60755989450791 55.7340350281581, 37.615520166056164 55.73402780201093, 37.6155069041158 55.729536340242966, 37.60754754641777 55.72954356517997)))",1.78585014255993
106910,"MULTIPOLYGON (((37.6155069041158 55.729536340242966, 37.615520166056164 55.73402780201093, 37.623480431907 55.734020060159175, 37.62346625611805 55.72952859968772, 37.6155069041158 55.729536340242966)))",1.9064836943820076
106911,"MULTIPOLYGON (((37.62346625611805 55.72952859968772, 37.623480431907 55.734020060159175, 37.631440695688 55.73401180259959, 37.63142560605182 55.72952034351101, 37.62346625611805 55.72952859968772)))",1.490298510482233
106912,"MULTIPOLYGON (((37.63142560605182 55.72952034351101, 37.631440695688 55.73401180259959, 37.63940095616892 55.734003029333486, 37.63938495268704 55.72951157171414, 37.63142560605182 55.72952034351101)))",1.872247769279441
106913,"MULTIPOLYGON (((37.63938495268704 55.72951157171414, 37.63940095616892 55.734003029333486, 37.647361211147896 55.733993740363594, 37.64734429382218 55.72950228429988, 37.63938495268704 55.72951157171414)))",1.7245930540992576
107493,"MULTIPOLYGON (((37.58367906089594 55.73405361235479, 37.583688670151844 55.73854507733174, 37.59164986260887 55.738539397357926, 37.59163933924015 55.73404793333226, 37.58367906089594 55.73405361235479)))",1.362977341829883
107494,"MULTIPOLYGON (((37.59163933924015 55.73404793333226, 37.59164986260887 55.738539397357926, 37.5996110559733 55.73853320158702, 37.599599618492455 55.73404173859899, 37.59163933924015 55.73404793333226)))",1.599574226477525
107495,"MULTIPOLYGON (((37.599599618492455 55.73404173859899, 37.5996110559733 55.73853320158702, 37.60757224609958 55.73852649002206, 37.60755989450791 55.7340350281581, 37.599599618492455 55.73404173859899)))",1.1597757998540743
107496,"MULTIPOLYGON (((37.60755989450791 55.7340350281581, 37.60757224609958 55.73852649002206, 37.61553343175724 55.738519262664454, 37.615520166056164 55.73402780201093, 37.60755989450791 55.7340350281581)))",1.135102568438084
107497,"MULTIPOLYGON (((37.615520166056164 55.73402780201093, 37.61553343175724 55.738519262664454, 37.62349461171576 55.7385115195159, 37.623480431907 55.734020060159175, 37.615520166056164 55.73402780201093)))",1.2774715873165392
107498,"MULTIPOLYGON (((37.623480431907 55.734020060159175, 37.62349461171576 55.7385115195159, 37.63145578960315 55.73850326057312, 37.631440695688 55.73401180259959, 37.623480431907 55.734020060159175)))",0.6982077129906227
107499,"MULTIPOLYGON (((37.631440695688 55.73401180259959, 37.63145578960315 55.73850326057312, 37.6394169641889 55.73849448583744, 37.63940095616892 55.734003029333486, 37.631440695688 55.73401180259959)))",0.7910080133435476
107500,"MULTIPOLYGON (((37.63940095616892 55.734003029333486, 37.6394169641889 55.73849448583744, 37.64737813327083 55.73848519531159, 37.647361211147896 55.733993740363594, 37.63940095616892 55.734003029333486)))",0.9769790402053136
108081,"MULTIPOLYGON (((37.583688670151844 55.73854507733174, 37.58369828212354 55.74303653680987, 37.59166038895173 55.74303085588456, 37.59164986260887 55.738539397357926, 37.583688670151844 55.73854507733174)))",0.9906677113824033
108082,"MULTIPOLYGON (((37.59164986260887 55.738539397357926, 37.59166038895173 55.74303085588456, 37.59962249668662 55.74302465907574, 37.5996110559733 55.73853320158702, 37.59164986260887 55.738539397357926)))",1.0751704658428043
108083,"MULTIPOLYGON (((37.5996110559733 55.73853320158702, 37.59962249668662 55.74302465907574, 37.607584601182104 55.743017946386495, 37.60757224609958 55.73852649002206, 37.5996110559733 55.73853320158702)))",0.7761368278994947
108084,"MULTIPOLYGON (((37.60757224609958 55.73852649002206, 37.607584601182104 55.743017946386495, 37.61554670120749 55.74301071781818, 37.61553343175724 55.738519262664454, 37.60757224609958 55.73852649002206)))",0.8777019809877917
108085,"MULTIPOLYGON (((37.61553343175724 55.738519262664454, 37.61554670120749 55.74301071781818, 37.623508795532075 55.74300297337251, 37.62349461171576 55.7385115195159, 37.61553343175724 55.738519262664454)))",1.8639559222508544
108086,"MULTIPOLYGON (((37.62349461171576 55.7385115195159, 37.623508795532075 55.74300297337251, 37.63147088778418 55.74299471304621, 37.63145578960315 55.73850326057312, 37.62349461171576 55.7385115195159)))",1.8051066038036374
108087,"MULTIPOLYGON (((37.63145578960315 55.73850326057312, 37.63147088778418 55.74299471304621, 37.639432976738966 55.74298593848521, 37.6394169641889 55.73849448583744, 37.63145578960315 55.73850326057312)))",1.0744267640990033
