zid,traffic_percent,geometry
67972715,87.3,"POLYGON ((37.61601825662079 55.731039702992604, 37.61585931860941 55.73553105962899, 37.62381968153827 55.73562048994984, 37.623977706182785 55.73112911833663, 37.61601825662079 55.731039702992604))"
67972716,86.01,"POLYGON ((37.61585931860941 55.73553105962899, 37.61570033560494 55.74002241265937, 37.623661612159 55.740111857960486, 37.62381968153827 55.73562048994984, 37.61585931860941 55.73553105962899))"
67972717,86.43,"POLYGON ((37.61570033560494 55.74002241265937, 37.61554130758994 55.744513762083834, 37.62350349802762 55.74460322236863, 37.623661612159 55.740111857960486, 37.61570033560494 55.74002241265937))"
67972718,93.32,"POLYGON ((37.61554130758994 55.744513762083834, 37.61538223454697 55.749005107902455, 37.62334533912677 55.749094583174376, 37.62350349802762 55.74460322236863, 37.61554130758994 55.744513762083834))"
67972719,89.49,"POLYGON ((37.61538223454697 55.749005107902455, 37.61522311645856 55.75349645011534, 37.62318713543911 55.753585940377825, 37.62334533912677 55.749094583174376, 37.61538223454697 55.749005107902455))"
67972720,85.85,"POLYGON ((37.61522311645856 55.75349645011534, 37.61506395330724 55.75798778872258, 37.62302888694726 55.75807729397906, 37.62318713543911 55.753585940377825, 37.61522311645856 55.75349645011534))"
67972721,85.26,"POLYGON ((37.61506395330724 55.75798778872258, 37.61490474507554 55.76247912372425, 37.62287059363384 55.76256864397816, 37.62302888694726 55.75807729397906, 37.61506395330724 55.75798778872258))"
67972722,89.27,"POLYGON ((37.61490474507554 55.76247912372425, 37.61474549174597 55.766970455120436, 37.622712255481474 55.76705999037522, 37.62287059363384 55.76256864397816, 37.61490474507554 55.76247912372425))"
67972723,88.85,"POLYGON ((37.61474549174597 55.766970455120436, 37.61458619330103 55.771461782911246, 37.62255387247276 55.771551333170336, 37.622712255481474 55.76705999037522, 37.61474549174597 55.766970455120436))"
67972735,87.21,"POLYGON ((37.623977706182785 55.73112911833663, 37.62381968153827 55.73562048994984, 37.631780089201904 55.73570940465294, 37.631937200462204 55.73121801814918, 37.623977706182785 55.73112911833663))"
67972736,84.83,"POLYGON ((37.62381968153827 55.73562048994984, 37.623661612159 55.740111857960486, 37.63162293346517 55.740200787557534, 37.631780089201904 55.73570940465294, 37.62381968153827 55.73562048994984))"
