zid,traffic_percent,geometry
27409664,91.94,"POLYGON ((43.965260480473844 56.29519204383736, 43.96513909673657 56.29968356535469, 43.973217383838964 56.299750801021055, 43.97333782044298 56.29525926815229, 43.965260480473844 56.29519204383736))"
27409665,92.17,"POLYGON ((43.96513909673657 56.29968356535469, 43.965017678171854 56.304175083420915, 43.97309691267911 56.30424233044138, 43.973217383838964 56.299750801021055, 43.96513909673657 56.29968356535469))"
27409666,92.74,"POLYGON ((43.965017678171854 56.304175083420915, 43.96489622476596 56.30866659803614, 43.9729764069498 56.30873385641337, 43.97309691267911 56.30424233044138, 43.965017678171854 56.304175083420915))"
27409667,92.71,"POLYGON ((43.96489622476596 56.30866659803614, 43.96477473650511 56.31315810920053, 43.97285586663736 56.31322537893717, 43.9729764069498 56.30873385641337, 43.96489622476596 56.30866659803614))"
27409668,92.94,"POLYGON ((43.96477473650511 56.31315810920053, 43.96465321337559 56.31764961691425, 43.972735291728185 56.317716898012975, 43.97285586663736 56.31322537893717, 43.96477473650511 56.31315810920053))"
27409669,91.68,"POLYGON ((43.96465321337559 56.31764961691425, 43.96453165536363 56.322141121177424, 43.97261468220858 56.32220841364089, 43.972735291728185 56.317716898012975, 43.96465321337559 56.31764961691425))"
27409670,89.49,"POLYGON ((43.96453165536363 56.322141121177424, 43.96441006245543 56.326632621990214, 43.9724940380649 56.326699925821075, 43.97261468220858 56.32220841364089, 43.96453165536363 56.322141121177424))"
27409671,89.5,"POLYGON ((43.96441006245543 56.326632621990214, 43.96428843463724 56.33112411935275, 43.97237335928347 56.33119143455369, 43.9724940380649 56.326699925821075, 43.96441006245543 56.326632621990214))"
27409672,92.9,"POLYGON ((43.96428843463724 56.33112411935275, 43.964166771895265 56.33561561326521, 43.972252645850624 56.335682939838875, 43.97237335928347 56.33119143455369, 43.96428843463724 56.33112411935275))"
27409690,91.75,"POLYGON ((43.97333782044298 56.29525926815229, 43.973217383838964 56.299750801021055, 43.981295705497196 56.299817509884896, 43.981415194954316 56.295325965753584, 43.97333782044298 56.29525926815229))"
27409691,92.39,"POLYGON ((43.973217383838964 56.299750801021055, 43.97309691267911 56.30424233044138, 43.98117618175584 56.30430905057039, 43.981295705497196 56.299817509884896, 43.973217383838964 56.299750801021055))"
27409692,92.93,"POLYGON ((43.97309691267911 56.30424233044138, 43.9729764069498 56.30873385641337, 43.981056623716746 56.3088005878102, 43.98117618175584 56.30430905057039, 43.97309691267911 56.30424233044138))"
27409693,92.8,"POLYGON ((43.9729764069498 56.30873385641337, 43.97285586663736 56.31322537893717, 43.98093703136637 56.31329212160446, 43.981056623716746 56.3088005878102, 43.9729764069498 56.30873385641337))"
27409694,94.05,"POLYGON ((43.97285586663736 56.31322537893717, 43.972735291728185 56.317716898012975, 43.98081740469118 56.31778365195335, 43.98093703136637 56.31329212160446, 43.97285586663736 56.31322537893717))"
27409695,92.91,"POLYGON ((43.972735291728185 56.317716898012975, 43.97261468220858 56.32220841364089, 43.98069774367761 56.322275178857, 43.98081740469118 56.31778365195335, 43.972735291728185 56.317716898012975))"
27409696,91.8,"POLYGON ((43.97261468220858 56.32220841364089, 43.9724940380649 56.326699925821075, 43.98057804831212 56.326766702315574, 43.98069774367761 56.322275178857, 43.97261468220858 56.32220841364089))"
27409697,90.82,"POLYGON ((43.9724940380649 56.326699925821075, 43.97237335928347 56.33119143455369, 43.98045831858114 56.3312582223292, 43.98057804831212 56.326766702315574, 43.9724940380649 56.326699925821075))"
27409698,91.39,"POLYGON ((43.97237335928347 56.33119143455369, 43.972252645850624 56.335682939838875, 43.98033855447111 56.335749738898066, 43.98045831858114 56.3312582223292, 43.97237335928347 56.33119143455369))"
27409716,91.74,"POLYGON ((43.981415194954316 56.295325965753584, 43.981295705497196 56.299817509884896, 43.989374061439634 56.29988369194142, 43.98949260373635 56.295392136636465, 43.981415194954316 56.295325965753584))"
27409717,92.7,"POLYGON ((43.981295705497196 56.299817509884896, 43.98117618175584 56.30430905057039, 43.989255485130315 56.304375243803165, 43.989374061439634 56.29988369194142, 43.981295705497196 56.299817509884896))"
27409718,92.71,"POLYGON ((43.98117618175584 56.30430905057039, 43.981056623716746 56.3088005878102, 43.98913687479498 56.30886679222185, 43.989255485130315 56.304375243803165, 43.98117618175584 56.30430905057039))"
27409719,92.15,"POLYGON ((43.981056623716746 56.3088005878102, 43.98093703136637 56.31329212160446, 43.9890182304202 56.3133583371976, 43.98913687479498 56.30886679222185, 43.981056623716746 56.3088005878102))"
27409720,92.49,"POLYGON ((43.98093703136637 56.31329212160446, 43.98081740469118 56.31778365195335, 43.988899551992546 56.3178498787306, 43.9890182304202 56.3133583371976, 43.98093703136637 56.31329212160446))"
27409721,93.76,"POLYGON ((43.98081740469118 56.31778365195335, 43.98069774367761 56.322275178857, 43.98878083949857 56.32234141682097, 43.988899551992546 56.3178498787306, 43.98081740469118 56.31778365195335))"
27409722,93.33,"POLYGON ((43.98069774367761 56.322275178857, 43.98057804831212 56.326766702315574, 43.98866209292483 56.3268329514689, 43.98878083949857 56.32234141682097, 43.98069774367761 56.322275178857))"
27409723,94.5,"POLYGON ((43.98057804831212 56.326766702315574, 43.98045831858114 56.3312582223292, 43.98854331225786 56.331324482674496, 43.98866209292483 56.3268329514689, 43.98057804831212 56.326766702315574))"
27409724,95.58,"POLYGON ((43.98045831858114 56.3312582223292, 43.98033855447111 56.335749738898066, 43.98842449748421 56.33581601043795, 43.98854331225786 56.331324482674496, 43.98045831858114 56.3312582223292))"
27409742,90.86,"POLYGON ((43.98949260373635 56.295392136636465, 43.989374061439634 56.29988369194142, 43.99745245139468 56.299949347185894, 43.99757004651759 56.295457780796205, 43.98949260373635 56.295392136636465))"
27409743,90.79,"POLYGON ((43.989374061439634 56.29988369194142, 43.989255485130315 56.304375243803165, 43.9973348225308 56.30444091013497, 43.99745245139468 56.299949347185894, 43.989374061439634 56.29988369194142))"
27409744,92.27,"POLYGON ((43.989255485130315 56.304375243803165, 43.98913687479498 56.30886679222185, 43.99721715991266 56.308932469643565, 43.9973348225308 56.30444091013497, 43.989255485130315 56.304375243803165))"
27409745,91.21,"POLYGON ((43.98913687479498 56.30886679222185, 43.9890182304202 56.3133583371976, 43.99709946352691 56.313424025711846, 43.99721715991266 56.308932469643565, 43.98913687479498 56.30886679222185))"
27409746,91.45,"POLYGON ((43.9890182304202 56.3133583371976, 43.988899551992546 56.3178498787306, 43.99698173336022 56.31791557833996, 43.99709946352691 56.313424025711846, 43.9890182304202 56.3133583371976))"
27409747,92.74,"POLYGON ((43.988899551992546 56.3178498787306, 43.98878083949857 56.32234141682097, 43.99686396939929 56.32240712752806, 43.99698173336022 56.31791557833996, 43.988899551992546 56.3178498787306))"
27409748,94.51,"POLYGON ((43.98878083949857 56.32234141682097, 43.98866209292483 56.3268329514689, 43.996746171630754 56.326898673276304, 43.99686396939929 56.32240712752806, 43.98878083949857 56.32234141682097))"
27409749,94.87,"POLYGON ((43.98866209292483 56.3268329514689, 43.98854331225786 56.331324482674496, 43.99662834004127 56.331390215584825, 43.996746171630754 56.326898673276304, 43.98866209292483 56.3268329514689))"
27409750,95.99,"POLYGON ((43.98854331225786 56.331324482674496, 43.98842449748421 56.33581601043795, 43.99651047461747 56.33588175445381, 43.99662834004127 56.331390215584825, 43.98854331225786 56.331324482674496))"
